hour,temperature,demand
1,3.8,119.84
2,3.0,120.25
3,2.5,117.42
4,2.33,125.62
5,2.5,120.4
6,3.0,177.22
7,3.8,155.74
8,4.83,171.28
9,6.04,157.65
10,7.33,128.68
11,8.63,131.82
12,9.83,135.28
13,10.87,128.13
14,11.66,121.19
15,12.16,102.46
16,12.33,115.47
17,12.16,181.34
18,11.66,174.42
19,10.87,181.03
20,9.83,181.69
21,8.63,202.44
22,7.33,194.69
23,6.04,133.77
0,6.52,89.53
1,5.48,116.51
2,4.69,102.61
3,4.19,95.4
4,4.02,104.72
5,4.19,111.43
6,4.69,174.75
7,5.48,158.89
8,6.52,155.91
9,7.73,150.73
10,9.02,122.3
11,10.31,123.11
12,11.52,115.87
13,12.56,105.36
14,13.35,109.82
15,13.85,118.24
16,14.02,102.87
17,13.85,154.8
18,13.35,157.07
19,12.56,158.35
20,11.52,181.19
21,10.31,165.41
22,9.02,188.42
23,7.73,135.99
0,30.13,94.28
1,29.09,101.84
2,28.3,80.93
3,27.8,83.78
4,27.63,89.86
5,27.8,86.84
6,28.3,143.12
7,29.09,155.46
8,30.13,153.57
9,31.33,164.17
10,32.63,145.88
11,33.92,150.2
12,35.13,150.69
13,36.16,163.03
14,36.96,168.65
15,37.46,183.25
16,37.63,176.91
17,37.46,234.6
18,36.96,231.16
19,36.16,223.13
20,35.13,221.19
21,33.92,209.64
22,32.63,202.77
23,31.33,139.02
0,5.55,89.67
1,4.52,94.61
2,3.72,102.63
3,3.22,103.49
4,3.05,124.12
5,3.22,119.87
6,3.72,168.26
7,4.52,158.64
8,5.55,162.21
9,6.76,159.91
10,8.05,121.73
11,9.35,124.67
12,10.55,111.58
13,11.59,112.2
14,12.38,120.2
15,12.88,100.36
16,13.05,109.8
17,12.88,166.69
18,12.38,166.91
19,11.59,164.99
20,10.55,186.43
21,9.35,188.31
22,8.05,186.08
23,6.76,136.17
0,31.45,100.06
1,30.42,95.67
2,29.62,89.85
3,29.12,115.82
4,28.95,82.95
5,29.12,90.52
6,29.62,151.42
7,30.42,165.42
8,31.45,161.31
9,32.66,183.18
10,33.95,152.43
11,35.24,149.72
12,36.45,166.29
13,37.49,182.25
14,38.28,183.27
15,38.78,185.63
16,38.95,179.31
17,38.78,238.68
18,38.28,229.77
19,37.49,240.92
20,36.45,237.36
21,35.24,217.72
22,33.95,214.23
23,32.66,157.27
0,12.76,90.0
1,11.73,88.84
2,10.93,80.49
3,10.43,90.69
4,10.26,95.51
5,10.43,90.64
6,10.93,130.22
7,11.73,146.54
8,12.76,147.06
9,13.97,127.59
10,15.26,109.72
11,16.56,114.08
12,17.76,109.89
13,18.8,111.0
14,19.59,117.07
15,20.09,111.46
16,20.26,108.94
17,20.09,178.92
18,19.59,175.45
19,18.8,173.21
20,17.76,161.18
21,16.56,171.95
22,15.26,145.08
23,13.97,102.88
0,30.1,104.77
1,29.06,91.8
2,28.27,79.07
3,27.77,79.76
4,27.6,93.25
5,27.77,85.3
6,28.27,144.49
7,29.06,164.14
8,30.1,147.0
9,31.3,173.77
10,32.6,145.92
11,33.89,160.89
12,35.1,158.1
13,36.13,164.86
14,36.93,178.99
15,37.43,163.79
16,37.6,187.85
17,37.43,218.27
18,36.93,221.73
19,36.13,217.7
20,35.1,230.63
21,33.89,209.65
22,32.6,209.29
23,31.3,136.65
0,23.98,83.38
1,22.94,54.95
2,22.15,60.5
3,21.65,82.03
4,21.48,65.94
5,21.65,79.79
6,22.15,135.31
7,22.94,139.16
8,23.98,127.07
9,25.19,119.73
10,26.48,111.05
11,27.77,115.32
12,28.98,132.66
13,30.01,136.72
14,30.81,129.86
15,31.31,147.09
16,31.48,131.37
17,31.31,202.01
18,30.81,207.68
19,30.01,205.63
20,28.98,187.08
21,27.77,178.76
22,26.48,160.35
23,25.19,101.97
0,10.24,72.03
1,9.2,86.07
2,8.41,72.18
3,7.91,100.66
4,7.74,98.99
5,7.91,84.24
6,8.41,150.62
7,9.2,158.55
8,10.24,137.01
9,11.44,142.37
10,12.74,112.83
11,14.03,112.95
12,15.24,96.06
13,16.27,101.34
14,17.07,113.66
15,17.57,98.37
16,17.74,110.43
17,17.57,157.34
18,17.07,153.97
19,16.27,143.95
20,15.24,156.44
21,14.03,180.97
22,12.74,160.89
23,11.44,116.43
0,23.15,76.58
1,22.12,81.17
2,21.32,83.95
3,20.82,62.98
4,20.65,62.38
5,20.82,68.66
6,21.32,132.74
7,22.12,139.18
8,23.15,137.35
9,24.36,127.29
10,25.65,113.08
11,26.95,114.45
12,28.15,120.45
13,29.19,142.16
14,29.98,141.77
15,30.48,146.49
16,30.65,148.45
17,30.48,178.68
18,29.98,193.12
19,29.19,173.79
20,28.15,194.5
21,26.95,158.19
22,25.65,170.28
23,24.36,105.76
0,21.28,79.83
1,20.24,63.66
2,19.45,89.67
3,18.95,84.2
4,18.78,96.05
5,18.95,68.64
6,19.45,134.2
7,20.24,141.25
8,21.28,126.96
9,22.48,125.96
10,23.78,102.08
11,25.07,100.67
12,26.28,101.8
13,27.31,116.88
14,28.11,119.53
15,28.61,128.89
16,28.78,146.49
17,28.61,171.53
18,28.11,202.66
19,27.31,186.2
20,26.28,161.35
21,25.07,152.99
22,23.78,170.91
23,22.48,113.7
0,29.01,117.01
1,27.98,94.41
2,27.18,73.86
3,26.68,79.14
4,26.51,92.17
5,26.68,80.99
6,27.18,146.49
7,27.98,152.22
8,29.01,162.62
9,30.22,163.48
10,31.51,143.2
11,32.81,144.54
12,34.01,153.31
13,35.05,165.46
14,35.84,160.36
15,36.34,176.27
16,36.51,183.39
17,36.34,234.47
18,35.84,223.48
19,35.05,222.51
20,34.01,228.89
21,32.81,224.0
22,31.51,215.95
23,30.22,141.71
0,22.9,75.31
1,21.87,88.83
2,21.07,84.3
3,20.57,78.14
4,20.4,66.91
5,20.57,77.23
6,21.07,124.22
7,21.87,132.18
8,22.9,136.4
9,24.11,124.05
10,25.4,115.25
11,26.7,115.45
12,27.9,136.46
13,28.94,128.44
14,29.73,128.45
15,30.23,131.85
16,30.4,132.42
17,30.23,197.12
18,29.73,184.01
19,28.94,198.45
20,27.9,197.01
21,26.7,157.45
22,25.4,152.23
23,24.11,101.38
0,23.0,66.14
1,21.96,53.91
2,21.17,78.74
3,20.67,66.01
4,20.5,74.01
5,20.67,92.89
6,21.17,126.27
7,21.96,127.9
8,23.0,125.14
9,24.2,136.22
10,25.5,107.68
11,26.79,114.82
12,28.0,110.7
13,29.03,142.37
14,29.83,135.37
15,30.33,143.15
16,30.5,146.13
17,30.33,189.89
18,29.83,178.52
19,29.03,199.63
20,28.0,177.56
21,26.79,174.88
22,25.5,168.13
23,24.2,100.63
0,26.43,75.77
1,25.39,64.2
2,24.6,84.14
3,24.1,66.27
4,23.93,82.71
5,24.1,63.58
6,24.6,128.29
7,25.39,139.87
8,26.43,142.71
9,27.63,148.42
10,28.93,125.61
11,30.22,134.16
12,31.43,134.95
13,32.46,139.37
14,33.26,158.87
15,33.76,154.28
16,33.93,152.99
17,33.76,215.36
18,33.26,205.42
19,32.46,218.96
20,31.43,203.87
21,30.22,208.6
22,28.93,174.57
23,27.63,131.49
0,16.07,87.99
1,15.03,63.44
2,14.24,60.84
3,13.74,87.51
4,13.57,73.48
5,13.74,80.67
6,14.24,140.88
7,15.03,126.75
8,16.07,140.12
9,17.28,124.59
10,18.57,108.92
11,19.86,104.68
12,21.07,108.49
13,22.11,113.06
14,22.9,106.69
15,23.4,111.81
16,23.57,116.27
17,23.4,176.83
18,22.9,165.91
19,22.11,169.49
20,21.07,163.7
21,19.86,178.89
22,18.57,156.42
23,17.28,104.0
0,9.63,106.88
1,8.59,92.54
2,7.8,88.24
3,7.3,103.87
4,7.13,88.62
5,7.3,96.44
6,7.8,165.04
7,8.59,139.5
8,9.63,143.81
9,10.83,132.61
10,12.13,100.69
11,13.42,118.44
12,14.63,110.83
13,15.66,103.64
14,16.46,106.74
15,16.96,113.23
16,17.13,114.48
17,16.96,182.54
18,16.46,154.54
19,15.66,148.96
20,14.63,166.4
21,13.42,177.58
22,12.13,165.16
23,10.83,114.77
0,32.1,132.58
1,31.06,108.72
2,30.27,114.89
3,29.77,89.72
4,29.6,91.73
5,29.77,87.09
6,30.27,159.33
7,31.06,180.28
8,32.1,166.94
9,33.3,187.05
10,34.6,175.06
11,35.89,172.66
12,37.1,180.63
13,38.13,181.41
14,38.93,194.66
15,39.43,175.22
16,39.6,189.84
17,39.43,257.12
18,38.93,258.15
19,38.13,250.86
20,37.1,234.62
21,35.89,228.01
22,34.6,224.17
23,33.3,164.82
0,6.11,96.63
1,5.07,102.43
2,4.28,96.06
3,3.78,103.35
4,3.61,101.85
5,3.78,110.22
6,4.28,153.32
7,5.07,163.64
8,6.11,154.79
9,7.31,149.79
10,8.61,132.11
11,9.9,114.18
12,11.11,124.2
13,12.14,122.22
14,12.94,119.26
15,13.44,120.56
16,13.61,104.14
17,13.44,160.5
18,12.94,166.41
19,12.14,162.87
20,11.11,176.21
21,9.9,185.59
22,8.61,187.65
23,7.31,116.96
0,7.93,102.16
1,6.9,98.9
2,6.1,81.93
3,5.6,119.28
4,5.43,104.32
5,5.6,96.31
6,6.1,159.96
7,6.9,163.4
8,7.93,155.37
9,9.14,146.48
10,10.43,113.64
11,11.73,118.06
12,12.93,108.84
13,13.97,119.34
14,14.76,97.96
15,15.26,119.52
16,15.43,105.69
17,15.26,158.57
18,14.76,153.8
19,13.97,170.57
20,12.93,169.81
21,11.73,170.8
22,10.43,174.58
23,9.14,132.2
0,24.03,82.29
1,22.99,74.68
2,22.2,62.72
3,21.7,67.09
4,21.53,58.29
5,21.7,84.18
6,22.2,129.83
7,22.99,133.56
8,24.03,124.8
9,25.23,128.51
10,26.53,126.79
11,27.82,136.21
12,29.03,129.61
13,30.06,138.81
14,30.86,129.9
15,31.36,146.15
16,31.53,145.27
17,31.36,193.86
18,30.86,199.5
19,30.06,175.39
20,29.03,202.29
21,27.82,194.68
22,26.53,170.29
23,25.23,113.74
0,6.33,114.33
1,5.3,94.98
2,4.5,96.66
3,4.0,88.97
4,3.83,112.43
5,4.0,107.44
6,4.5,162.38
7,5.3,179.97
8,6.33,156.35
9,7.54,149.51
10,8.83,133.01
11,10.13,128.08
12,11.33,114.7
13,12.37,106.72
14,13.16,116.08
15,13.66,113.59
16,13.83,115.72
17,13.66,176.29
18,13.16,178.51
19,12.37,163.3
20,11.33,162.35
21,10.13,164.46
22,8.83,172.84
23,7.54,139.52
0,15.47,54.91
1,14.44,66.32
2,13.64,85.99
3,13.15,78.66
4,12.97,67.19
5,13.15,95.1
6,13.64,122.4
7,14.44,122.05
8,15.47,127.58
9,16.68,118.11
10,17.97,99.97
11,19.27,113.92
12,20.47,102.69
13,21.51,112.25
14,22.31,104.21
15,22.8,100.36
16,22.97,116.81
17,22.8,154.14
18,22.31,160.53
19,21.51,157.72
20,20.47,173.35
21,19.27,150.86
22,17.97,145.39
23,16.68,108.06
0,16.13,85.19
1,15.1,59.84
2,14.3,70.97
3,13.8,83.43
4,13.63,83.3
5,13.8,89.31
6,14.3,137.86
7,15.1,138.96
8,16.13,132.14
9,17.34,118.33
10,18.63,124.31
11,19.93,106.86
12,21.13,119.94
13,22.17,108.81
14,22.96,110.08
15,23.46,104.29
16,23.63,108.38
17,23.46,153.06
18,22.96,143.63
19,22.17,155.63
20,21.13,168.01
21,19.93,157.91
22,18.63,158.88
23,17.34,107.57
0,3.13,101.12
1,2.09,116.74
2,1.3,108.68
3,0.8,121.21
4,0.63,119.52
5,0.8,131.85
6,1.3,184.36
7,2.09,182.68
8,3.13,167.58
9,4.33,160.56
10,5.63,139.06
11,6.92,124.31
12,8.13,130.1
13,9.16,121.86
14,9.96,118.0
15,10.46,122.49
16,10.63,118.92
17,10.46,190.35
18,9.96,196.88
19,9.16,177.26
20,8.13,200.32
21,6.92,197.59
22,5.63,185.07
23,4.33,146.21
0,3.8,100.56
1,2.76,118.0
2,1.97,111.7
3,1.47,122.69
4,1.3,118.59
5,1.47,122.54
6,1.97,174.17
7,2.76,171.35
8,3.8,168.14
9,5.0,144.06
10,6.3,128.77
11,7.59,129.98
12,8.8,130.02
13,9.83,126.72
14,10.63,121.93
15,11.12,116.89
16,11.3,107.27
17,11.12,193.61
18,10.63,169.72
19,9.83,172.49
20,8.8,203.55
21,7.59,196.82
22,6.3,186.81
23,5.0,131.63
0,2.6,121.63
1,1.56,100.24
2,0.77,131.42
3,0.27,104.66
4,0.1,131.42
5,0.27,131.74
6,0.77,173.11
7,1.56,180.96
8,2.6,172.75
9,3.8,164.5
10,5.1,127.67
11,6.39,132.04
12,7.6,122.92
13,8.63,121.74
14,9.43,126.64
15,9.93,124.42
16,10.1,122.5
17,9.93,178.83
18,9.43,197.91
19,8.63,177.05
20,7.6,170.69
21,6.39,170.74
22,5.1,177.8
23,3.8,145.22
0,11.46,96.5
1,10.43,91.93
2,9.63,103.93
3,9.13,88.69
4,8.96,92.47
5,9.13,99.57
6,9.63,147.68
7,10.43,148.27
8,11.46,137.15
9,12.67,152.26
10,13.96,103.65
11,15.26,102.91
12,16.46,102.57
13,17.5,105.92
14,18.29,118.85
15,18.79,99.62
16,18.96,95.19
17,18.79,164.84
18,18.29,177.33
19,17.5,180.68
20,16.46,143.76
21,15.26,169.28
22,13.96,186.52
23,12.67,103.7
0,19.46,74.32
1,18.42,72.22
2,17.63,61.29
3,17.13,64.82
4,16.96,90.61
5,17.13,76.76
6,17.63,135.73
7,18.42,134.92
8,19.46,130.46
9,20.67,125.55
10,21.96,100.24
11,23.25,116.23
12,24.46,106.21
13,25.5,110.78
14,26.29,115.96
15,26.79,121.34
16,26.96,110.25
17,26.79,167.2
18,26.29,172.57
19,25.5,179.53
20,24.46,174.59
21,23.25,166.09
22,21.96,179.24
23,20.67,109.96
0,18.66,76.43
1,17.63,80.9
2,16.83,71.98
3,16.33,61.42
4,16.16,93.15
5,16.33,89.34
6,16.83,128.26
7,17.63,127.42
8,18.66,130.7
9,19.87,142.29
10,21.16,111.92
11,22.46,100.75
12,23.66,108.63
13,24.7,108.72
14,25.49,112.05
15,25.99,127.02
16,26.16,107.34
17,25.99,184.05
18,25.49,171.46
19,24.7,184.53
20,23.66,177.68
21,22.46,153.86
22,21.16,176.59
23,19.87,117.24
0,11.93,82.52
1,10.89,89.58
2,10.1,87.03
3,9.6,86.37
4,9.43,95.24
5,9.6,84.58
6,10.1,147.52
7,10.89,151.02
8,11.93,135.74
9,13.14,151.3
10,14.43,113.08
11,15.72,100.93
12,16.93,108.28
13,17.97,115.18
14,18.76,111.07
15,19.26,112.75
16,19.43,109.72
17,19.26,171.57
18,18.76,179.75
19,17.97,173.29
20,16.93,159.17
21,15.72,170.07
22,14.43,146.51
23,13.14,107.17
0,18.9,68.74
1,17.86,81.74
2,17.07,91.09
3,16.57,66.59
4,16.4,91.02
5,16.57,63.62
6,17.07,134.58
7,17.86,142.02
8,18.9,127.47
9,20.11,131.12
10,21.4,103.53
11,22.69,103.0
12,23.9,103.71
13,24.93,105.81
14,25.73,109.49
15,26.23,128.7
16,26.4,109.95
17,26.23,179.75
18,25.73,155.4
19,24.93,157.72
20,23.9,170.3
21,22.69,154.01
22,21.4,182.16
23,20.11,115.69
0,19.65,66.47
1,18.62,69.6
2,17.82,87.65
3,17.32,74.45
4,17.15,84.32
5,17.32,89.83
6,17.82,119.92
7,18.62,127.84
8,19.65,131.87
9,20.86,132.73
10,22.15,122.61
11,23.45,101.6
12,24.65,101.62
13,25.69,93.43
14,26.48,109.16
15,26.98,103.51
16,27.15,116.53
17,26.98,173.06
18,26.48,163.75
19,25.69,168.06
20,24.65,167.27
21,23.45,161.01
22,22.15,148.18
23,20.86,106.52
0,17.72,95.73
1,16.69,89.48
2,15.89,60.4
3,15.39,65.09
4,15.22,73.67
5,15.39,80.78
6,15.89,123.77
7,16.69,125.89
8,17.72,129.25
9,18.93,126.77
10,20.22,95.0
11,21.52,98.22
12,22.72,105.63
13,23.76,101.59
14,24.55,106.16
15,25.05,112.68
16,25.22,106.16
17,25.05,169.46
18,24.55,182.16
19,23.76,173.15
20,22.72,147.9
21,21.52,150.89
22,20.22,162.02
23,18.93,99.25
0,3.81,87.46
1,2.78,122.21
2,1.98,120.98
3,1.48,117.68
4,1.31,116.53
5,1.48,118.75
6,1.98,170.62
7,2.78,176.26
8,3.81,162.8
9,5.02,158.12
10,6.31,139.56
11,7.61,136.41
12,8.81,122.92
13,9.85,111.52
14,10.64,121.6
15,11.14,109.81
16,11.31,113.69
17,11.14,169.79
18,10.64,180.91
19,9.85,177.71
20,8.81,188.96
21,7.61,174.09
22,6.31,190.66
23,5.02,142.03
0,14.03,63.65
1,12.99,68.98
2,12.2,67.82
3,11.7,86.58
4,11.53,100.91
5,11.7,86.33
6,12.2,144.41
7,12.99,135.98
8,14.03,123.76
9,15.23,131.79
10,16.53,111.32
11,17.82,109.11
12,19.03,100.6
13,20.06,97.76
14,20.86,95.24
15,21.36,112.45
16,21.53,112.46
17,21.36,160.07
18,20.86,167.56
19,20.06,178.41
20,19.03,153.71
21,17.82,163.74
22,16.53,167.56
23,15.23,110.34
0,28.6,81.91
1,27.56,99.33
2,26.77,77.38
3,26.27,90.55
4,26.1,81.82
5,26.27,83.47
6,26.77,138.64
7,27.56,138.2
8,28.6,163.6
9,29.8,162.39
10,31.1,154.23
11,32.39,150.45
12,33.6,161.73
13,34.63,165.36
14,35.43,157.62
15,35.93,172.78
16,36.1,180.23
17,35.93,230.58
18,35.43,226.09
19,34.63,210.02
20,33.6,216.96
21,32.39,215.97
22,31.1,181.13
23,29.8,130.93
0,24.64,81.82
1,23.6,84.76
2,22.81,89.01
3,22.31,88.92
4,22.14,78.28
5,22.31,57.92
6,22.81,124.77
7,23.6,126.25
8,24.64,112.75
9,25.84,127.23
10,27.14,122.55
11,28.43,124.31
12,29.64,118.55
13,30.67,130.87
14,31.47,143.93
15,31.97,142.16
16,32.14,149.57
17,31.97,211.48
18,31.47,210.47
19,30.67,178.34
20,29.64,187.06
21,28.43,187.36
22,27.14,181.54
23,25.84,105.8
0,23.92,85.86
1,22.88,82.45
2,22.09,60.59
3,21.59,79.35
4,21.42,70.2
5,21.59,56.89
6,22.09,131.84
7,22.88,125.6
8,23.92,129.85
9,25.12,128.35
10,26.42,116.85
11,27.71,117.18
12,28.92,132.59
13,29.95,145.62
14,30.75,136.95
15,31.25,150.09
16,31.42,147.4
17,31.25,200.27
18,30.75,205.32
19,29.95,185.7
20,28.92,192.82
21,27.71,176.42
22,26.42,172.34
23,25.12,107.63
0,8.77,87.22
1,7.73,104.1
2,6.94,98.32
3,6.44,93.55
4,6.27,111.12
5,6.44,91.78
6,6.94,149.98
7,7.73,148.63
8,8.77,147.39
9,9.97,153.61
10,11.27,112.62
11,12.56,123.86
12,13.77,105.29
13,14.8,101.45
14,15.6,111.44
15,16.1,97.65
16,16.27,104.54
17,16.1,159.81
18,15.6,174.19
19,14.8,154.81
20,13.77,167.74
21,12.56,180.38
22,11.27,174.13
23,9.97,126.49
0,31.78,99.87
1,30.74,100.53
2,29.95,92.66
3,29.45,96.31
4,29.28,98.93
5,29.45,106.95
6,29.95,167.52
7,30.74,164.14
8,31.78,163.27
9,32.99,167.59
10,34.28,163.1
11,35.57,164.73
12,36.78,168.35
13,37.82,171.88
14,38.61,177.03
15,39.11,176.73
16,39.28,189.84
17,39.11,239.08
18,38.61,242.7
19,37.82,248.6
20,36.78,225.78
21,35.57,215.69
22,34.28,216.79
23,32.99,147.96
0,6.92,80.3
1,5.88,101.83
2,5.09,110.43
3,4.59,107.17
4,4.42,111.18
5,4.59,113.65
6,5.09,147.87
7,5.88,155.89
8,6.92,140.44
9,8.12,140.29
10,9.42,127.25
11,10.71,130.21
12,11.92,104.21
13,12.95,115.0
14,13.75,113.6
15,14.25,113.66
16,14.42,106.72
17,14.25,175.07
18,13.75,167.62
19,12.95,162.6
20,11.92,173.68
21,10.71,182.18
22,9.42,188.33
23,8.12,120.76
0,13.21,96.3
1,12.18,68.79
2,11.38,82.86
3,10.88,78.79
4,10.71,85.63
5,10.88,89.8
6,11.38,129.44
7,12.18,139.03
8,13.21,138.51
9,14.42,128.82
10,15.71,114.28
11,17.0,108.3
12,18.21,113.85
13,19.25,97.48
14,20.04,106.3
15,20.54,110.79
16,20.71,93.9
17,20.54,151.33
18,20.04,152.15
19,19.25,157.53
20,18.21,170.81
21,17.0,177.32
22,15.71,161.48
23,14.42,111.83
0,29.32,111.22
1,28.29,106.1
2,27.49,80.74
3,26.99,88.64
4,26.82,80.04
5,26.99,75.07
6,27.49,122.11
7,28.29,155.29
8,29.32,166.67
9,30.53,160.48
10,31.82,138.45
11,33.12,152.62
12,34.32,153.58
13,35.36,154.54
14,36.15,164.21
15,36.65,178.86
16,36.82,162.98
17,36.65,215.57
18,36.15,214.78
19,35.36,223.48
20,34.32,218.1
21,33.12,201.01
22,31.82,206.58
23,30.53,138.28
0,29.56,116.57
1,28.52,90.6
2,27.73,86.37
3,27.23,79.19
4,27.06,97.58
5,27.23,74.06
6,27.73,132.37
7,28.52,157.63
8,29.56,160.42
9,30.76,157.1
10,32.06,149.77
11,33.35,157.84
12,34.56,171.82
13,35.59,175.81
14,36.39,164.07
15,36.89,173.26
16,37.06,176.65
17,36.89,236.93
18,36.39,229.09
19,35.59,212.78
20,34.56,222.59
21,33.35,203.92
22,32.06,213.69
23,30.76,137.5
0,23.65,87.02
1,22.61,61.8
2,21.82,78.64
3,21.32,67.48
4,21.15,73.23
5,21.32,69.44
6,21.82,134.91
7,22.61,121.49
8,23.65,142.73
9,24.85,128.09
10,26.15,121.74
11,27.44,128.32
12,28.65,118.39
13,29.68,134.7
14,30.48,129.29
15,30.98,135.42
16,31.15,135.67
17,30.98,192.59
18,30.48,200.95
19,29.68,187.78
20,28.65,179.25
21,27.44,189.01
22,26.15,181.14
23,24.85,110.23
0,15.05,81.06
1,14.01,68.61
2,13.22,71.66
3,12.72,96.35
4,12.55,78.32
5,12.72,84.91
6,13.22,128.25
7,14.01,119.94
8,15.05,115.37
9,16.26,125.11
10,17.55,110.29
11,18.84,103.13
12,20.05,100.72
13,21.09,102.31
14,21.88,116.48
15,22.38,110.25
16,22.55,106.18
17,22.38,173.37
18,21.88,162.67
19,21.09,168.3
20,20.05,177.33
21,18.84,169.01
22,17.55,166.71
23,16.26,108.71
0,19.99,70.45
1,18.95,71.66
2,18.16,88.02
3,17.66,84.21
4,17.49,62.94
5,17.66,61.91
6,18.16,134.31
7,18.95,129.3
8,19.99,137.44
9,21.19,139.66
10,22.49,101.12
11,23.78,104.31
12,24.99,109.24
13,26.02,106.24
14,26.82,113.38
15,27.32,120.16
16,27.49,119.88
17,27.32,192.49
18,26.82,187.65
19,26.02,185.97
20,24.99,168.74
21,23.78,166.1
22,22.49,168.32
23,21.19,105.76
0,30.12,97.12
1,29.09,94.96
2,28.29,110.51
3,27.79,92.2
4,27.62,97.49
5,27.79,83.1
6,28.29,149.65
7,29.09,144.68
8,30.12,162.28
9,31.33,146.38
10,32.62,142.99
11,33.92,156.43
12,35.12,170.84
13,36.16,165.64
14,36.95,172.07
15,37.45,168.43
16,37.62,173.2
17,37.45,239.75
18,36.95,236.69
19,36.16,221.7
20,35.12,215.47
21,33.92,206.81
22,32.62,207.88
23,31.33,144.31
0,11.73,96.58
1,10.7,85.18
2,9.9,89.31
3,9.4,89.13
4,9.23,94.23
5,9.4,95.53
